Kategori: Semua kategori

Hari,demo 27 agustus: (Indonesia),RUU perampasan aset: (Indonesia),hukuman mati koruptor: (Indonesia),MBG: (Indonesia)
2026-07-26,0,1,0,23
2026-07-27,0,0,0,27
2026-07-28,0,0,0,31
2026-07-29,0,1,0,32
2026-07-30,0,0,0,42
2026-07-31,0,0,0,35
2026-08-01,0,0,0,27
2026-08-02,0,0,0,24
2026-08-03,0,<1,0,27
2026-08-04,0,0,0,28
2026-08-05,0,<1,0,31
2026-08-06,0,0,0,29
2026-08-07,0,0,0,27
2026-08-08,0,0,0,22
2026-08-09,0,0,0,22
2026-08-10,0,0,0,26
2026-08-11,0,0,0,26
2026-08-12,0,<1,<1,27
2026-08-13,0,<1,<1,35
2026-08-14,0,1,<1,32
2026-08-15,0,<1,<1,23
2026-08-16,<1,<1,<1,21
2026-08-17,<1,<1,<1,25
2026-08-18,<1,<1,<1,29
2026-08-19,<1,1,<1,29
2026-08-20,<1,<1,<1,29
2026-08-21,1,<1,<1,27
2026-08-22,2,<1,<1,20
2026-08-23,5,1,<1,21
2026-08-24,24,1,<1,24
2026-08-25,26,3,<1,23
2026-08-26,100,5,<1,30
