Kategori: Semua kategori

Wilayah,demo 27 agustus: (26/07/26 - 26/08/26)
Daerah Khusus Ibukota Jakarta,100
Banten,37
Jawa Barat,22
Daerah Istimewa Yogyakarta,18
Jawa Tengah,14
Jawa Timur,14
Sumatera Utara,11
Kepulauan Bangka Belitung,10
Kepulauan Riau,10
Sulawesi Selatan,10
Lampung,9
Kalimantan Barat,9
Sumatera Selatan,8
Bengkulu,8
Bali,8
Jambi,8
Papua,8
Kalimantan Timur,7
Aceh,7
Nusa Tenggara Barat,7
Maluku,7
Kalimantan Selatan,7
Sumatera Barat,7
Riau,6
Sulawesi Tengah,6
Kalimantan Tengah,6
Sulawesi Utara,6
Sulawesi Tenggara,5
Papua Barat,4
Nusa Tenggara Timur,4
Maluku Utara,3
Kalimantan Utara,3
Gorontalo,
Sulawesi Barat,
